Characteristic,N,Percent
"Biden voter, 2020",3299,65.1
"Trump voter, 2020",1769,34.9
Natural origin belief,3935,77.6
Intentional lab belief,1133,22.4
Dem/Lean Dem,3118,61.5
Rep/Lean Rep,1894,37.4
DK/Refused/No lean,56,1.1
50-64,1666,32.9
65+,1539,30.4
30-49,1464,28.9
18-29,399,7.9
College graduate+,3264,64.4
Some College,1307,25.8
H.S. graduate or less,497,9.8
